cdsid,role,firstName,lastName,email,imageUrl
amartin2,Software Engineer,Ava,Martinez,amartin2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203992.png
amartin3,Software Engineer,Avery,Martinez,amartin3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202711.png
amartine,Product Manager,Alexander,Martinez,amartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629626.png
amehta,Product Manager,Anupam,Mehta,amehta@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626164.png
amiller,Software Engineer,Abigail,Miller,amiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630527.png
amiller1,Software Engineer,Alexander,Miller,amiller1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628449.png
amiller2,Data Engineer,Allison,Miller,amiller2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630547.png
amiller3,Product Manager,Andrew,Miller,amiller3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641859.png
amiller4,Software Engineer,Ava,Miller,amiller4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631123.png
amishra,Software Engineer,Amit,Mishra,amishra@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631103.png
amurthy,Software Engineer,Adarsh,Murthy,amurthy@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631128.png
anair,Software Engineer,Amrita,Nair,anair@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628969.png
apatel,Anchor,Aanya,Patel,apatel@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628970.png
apatel1,Product Manager,Anand,Patel,apatel1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629052.png
apatel2,Data Scientist,Arjun,Patel,apatel2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627763.png
aprice,Software Engineer,Adrian,Price,aprice@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png
arao,Software Engineer,Aniket,Rao,arao@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628415.png
arao1,Data Engineer,Anushka,Rao,arao1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628971.png
areddy,Software Engineer,Aaradhya,Reddy,areddy@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627759.png
areddy1,Software Engineer,Ananya,Reddy,areddy1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631112.png
areddy2,Anchor,Anjali,Reddy,areddy2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641738.png
asaxena,Anchor,Anil,Saxena,asaxena@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630535.png
asaxena1,Product Manager,Asha,Saxena,asaxena1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628972.png
asharma,Anchor,Abhay,Sharma,asharma@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628973.png
asharma1,Software Engineer,Aryan,Sharma,asharma1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628418.png
asingh,Software Engineer,Adarsh,Singh,asingh@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641723.png
asingh1,Software Engineer,Aishwarya,Singh,asingh1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203493.png
asinha,Software Engineer,Alok,Sinha,asinha@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202692.png
asmith,Anchor,Abraham,Smith,asmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630215.png
asmith1,Software Engineer,Addison,Smith,asmith1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202710.png
asmith2,Anchor,Alexander,Smith,asmith2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631219.png
asmith3,Go To Market Lead,Amanda,Smith,asmith3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631288.png
asmith4,Data Engineer,Amelia,Smith,asmith4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203484.png
asmith5,Data Scientist,Andrew,Smith,asmith5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641739.png
asmith6,Go To Market Lead,Arnold,Smith,asmith6@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628427.png
asmith7,Go To Market Lead,Artis,Smith,asmith7@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203991.png
asmith8,Software Engineer,Audrey,Smith,asmith8@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628975.png
asmith9,Anchor,Ava,Smith,asmith9@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628976.png
ataylor,Software Engineer,Abigail,Taylor,ataylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203487.png
ataylor1,Software Engineer,Alexander,Taylor,ataylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png
ataylor2,Software Engineer,Alvin,Taylor,ataylor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630658.png
ataylor3,Product Manager,Andrew,Taylor,ataylor3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630608.png
ataylor4,Anchor,Aubrey,Taylor,ataylor4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630577.png
ataylor5,Software Engineer,Ava,Taylor,ataylor5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630551.png
atiwari,Software Engineer,Ashish,Tiwari,atiwari@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631108.png
averma,Anchor,Akshay,Verma,averma@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630528.png
averma1,Software Engineer,Arnav,Verma,averma1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631321.png
awhite,Software Engineer,Andrew,White,awhite@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641740.png
awilson,Software Engineer,Alexander,Wilson,awilson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629634.png
awright,Software Engineer,Alice,Wright,awright@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203903.png
banders1,Software Engineer,Bruce,Anderson,banders1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629651.png
banderso,Anchor,Benjamin,Anderson,banderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641730.png
bbrown,Product Manager,Benjamin,Brown,bbrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png
bbrown1,Data Engineer,Bruce,Brown,bbrown1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628381.png
bdavis,Software Engineer,Barry,Davis,bdavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628380.png
bdavis1,Data Scientist,Benjamin,Davis,bdavis1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201144.png
bdavis2,Product Manager,Brooklyn,Davis,bdavis2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626192.png
bharris,Data Scientist,Benjamin,Harris,bharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641645.png
bharris1,Product Designer,Brian,Harris,bharris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641731.png
bharris2,Software Engineer,Brooklyn,Harris,bharris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641741.png
bjohnso1,Product Manager,Bruce,Johnson,bjohnso1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203496.png
bjohnson,Product Manager,Benjamin,Johnson,bjohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628470.png
bjones,Software Engineer,Bella,Jones,bjones@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203109.png
bjones1,Data Scientist,Benjamin,Jones,bjones1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630595.png
bmartine,Data Engineer,Benjamin,Martinez,bmartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203552.png
bmiller,Enablement Manager,Benjamin,Miller,bmiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201939.png
bmurphy,Data Engineer,Brian,Murphy,bmurphy@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641915.png
bsingh,Software Engineer,Bhavana,Singh,bsingh@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630700.png
bsmith,Anchor,Benjamin,Smith,bsmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203076.png
bsmith1,Data Scientist,Brooklyn,Smith,bsmith1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631098.png
btaylor,Software Engineer,Benjamin,Taylor,btaylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631120.png
btaylor1,Data Scientist,Brian,Taylor,btaylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630620.png
btaylor2,Software Engineer,Brianna,Taylor,btaylor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201942.png
bwilson,Enablement Manager,Bartholemew,Wilson,bwilson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203473.png
bwilson1,Software Engineer,Benjamin,Wilson,bwilson1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628978.png
bwright,Product Designer,Benjamin,Wright,bwright@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631217.png
cagrawal,Product Manager,Chetan,Agrawal,cagrawal@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629603.png
callen,Product Manager,Chloe,Allen,callen@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641711.png
canders1,Software Engineer,Chloe,Anderson,canders1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631172.png
canderso,Software Engineer,Caleb,Anderson,canderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203915.png
cbennett,Data Engineer,Colin,Bennett,cbennett@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629029.png
cbrown,Software Engineer,Camila,Brown,cbrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629652.png
cclark,Go To Market Lead,Christopher,Clark,cclark@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630245.png
ccook,Anchor,Caroline,Cook,ccook@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630288.png
cdavis,Software Engineer,Charlotte,Davis,cdavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201609.png
cdavis1,Product Manager,Chester,Davis,cdavis1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203083.png
charris,Anchor,Caleb,Harris,charris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630537.png
charris1,Anchor,Charlotte,Harris,charris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627739.png
charris2,Software Engineer,Chloe,Harris,charris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201142.png
charris3,Software Engineer,Christopher,Harris,charris3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631105.png
cjohnso1,Product Manager,Charlotte,Johnson,cjohnso1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631106.png
cjohnso2,Software Engineer,Christopher,Johnson,cjohnso2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png
cjohnson,Go To Market Lead,Caleb,Johnson,cjohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630556.png
cjones,Anchor,Caleb,Jones,cjones@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631165.png
ckapoor,Software Engineer,Charul,Kapoor,ckapoor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203954.png
cmalhotr,Software Engineer,Charu,Malhotra,cmalhotr@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629234.png
cmartine,Product Manager,Caleb,Martinez,cmartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641787.png
cmiller,Product Manager,Caleb,Miller,cmiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203957.png
cmiller1,Product Designer,Charles,Miller,cmiller1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628981.png
cmiller2,Software Engineer,Claire,Miller,cmiller2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627827.png
cmurphy,Software Engineer,Catherine,Murphy,cmurphy@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630201.png
csmith,Product Manager,Caleb,Smith,csmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631323.png
csmith1,Enablement Manager,Charlotte,Smith,csmith1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630235.png
csmith2,Enablement Manager,Cheryl,Smith,csmith2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203095.png
csmith3,Software Engineer,Chloe,Smith,csmith3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628368.png
csmith4,Software Engineer,Clara,Smith,csmith4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641848.png
ctaylor,Anchor,Charles,Taylor,ctaylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631241.png
ctaylor1,Product Manager,Charlotte,Taylor,ctaylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png
ctaylor2,Product Manager,Chloe,Taylor,ctaylor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628365.png
cward,Product Manager,Charles,Ward,cward@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641847.png
cwillia1,Software Engineer,Chloe,Williams,cwillia1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629117.png
cwilliam,Go To Market Lead,Charlotte,Williams,cwilliam@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629655.png
cwilson,Software Engineer,Caleb,Wilson,cwilson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201568.png
cwilson1,Software Engineer,Chloe,Wilson,cwilson1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629636.png
danders1,Go To Market Lead,David,Anderson,danders1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630586.png
danders2,Product Manager,Dennis,Anderson,danders2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630568.png
danderso,Product Designer,Daniel,Anderson,danderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641718.png
dbajaj,Software Engineer,Deepak,Bajaj,dbajaj@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202331.png
dbhatia,Software Engineer,Dhruv,Bhatia,dbhatia@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201959.png
dbrown,Software Engineer,Daniel,Brown,dbrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630581.png
dbrown1,Software Engineer,Dashiell,Brown,dbrown1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628983.png
dbrown2,Software Engineer,David,Brown,dbrown2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png
ddavis,Software Engineer,David,Davis,ddavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631221.png
dfoster,Anchor,Duncan,Foster,dfoster@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631367.png
dharris,Software Engineer,Daniel,Harris,dharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203497.png
dharris1,Product Manager,Darrell,Harris,dharris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630692.png
dharris2,Data Engineer,David,Harris,dharris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203932.png
diyer,Anchor,Deepika,Iyer,diyer@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201569.png
djohnso1,Data Engineer,David,Johnson,djohnso1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641789.png
djohnson,Product Manager,Daniel,Johnson,djohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628984.png
djones,Enablement Manager,Daniel,Jones,djones@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203924.png
djones1,Software Engineer,Darrell,Jones,djones1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png
djones2,Software Engineer,David,Jones,djones2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201980.png
dmalhotr,Product Manager,Deepak,Malhotra,dmalhotr@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203110.png
dmartin1,Software Engineer,David,Martinez,dmartin1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203210.png
dmartine,Anchor,Daniel,Martinez,dmartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630224.png
dmiller,Software Engineer,Daniel,Miller,dmiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629750.png
dmiller1,Software Engineer,David,Miller,dmiller1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201145.png
dnair,Software Engineer,Devraj,Nair,dnair@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630182.png
dsingh,Software Engineer,Disha,Singh,dsingh@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png
dsmith,Anchor,Daisy,Smith,dsmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201933.png
dsmith1,Product Manager,Dallas,Smith,dsmith1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629656.png
dsmith2,Software Engineer,Daniel,Smith,dsmith2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631338.png
dsmith3,Data Scientist,Darrell,Smith,dsmith3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631243.png
dsmith4,Product Manager,David,Smith,dsmith4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629060.png
dsmith5,Anchor,Donald,Smith,dsmith5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630169.png
dtaylor,Anchor,Daniel,Taylor,dtaylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203501.png
dtaylor1,Anchor,Darrell,Taylor,dtaylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201935.png
dtaylor2,Data Scientist,David,Taylor,dtaylor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630702.png
dtaylor3,Anchor,Dwayne,Taylor,dtaylor3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631199.png
dverma,Data Scientist,Devendra,Verma,dverma@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626149.png
dverma1,Software Engineer,Divya,Verma,dverma1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203914.png
dyoung,Software Engineer,Dominic,Young,dyoung@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203925.png
eanders1,Software Engineer,Emma,Anderson,eanders1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630284.png
eanders2,Go To Market Lead,Erica,Anderson,eanders2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202699.png
eanders3,Go To Market Lead,Ethan,Anderson,eanders3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628404.png
eanderso,Software Engineer,Emily,Anderson,eanderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628392.png
ebell,Anchor,Eleanor,Bell,ebell@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/2617.png
ebrooks,Product Manager,Emily,Brooks,ebrooks@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641792.png
ebrown,Go To Market Lead,Eleanor,Brown,ebrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630573.png
ebrown1,Anchor,Emma,Brown,ebrown1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641722.png
eclark,Software Engineer,Emma,Clark,eclark@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629637.png
edavis,Software Engineer,Edward,Davis,edavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630165.png
edavis1,Data Scientist,Elizabeth,Davis,edavis1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202330.png
edavis2,Software Engineer,Ellie,Davis,edavis2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630703.png
edavis3,Software Engineer,Ethan,Davis,edavis3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641707.png
efoster,Go To Market Lead,Edward,Foster,efoster@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626195.png
eharris,Anchor,Eileen,Harris,eharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629639.png
eharris1,Software Engineer,Ellie,Harris,eharris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627741.png
eharris2,Software Engineer,Emily,Harris,eharris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629312.png
eharris3,Data Scientist,Ethan,Harris,eharris3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630207.png
ejohnso1,Go To Market Lead,Emma,Johnson,ejohnso1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641793.png
ejohnso2,Product Designer,Ethan,Johnson,ejohnso2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png
ejohnson,Product Manager,Elizabeth,Johnson,ejohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201950.png
ejones,Product Manager,Edward,Jones,ejones@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203200.png
